array_type,time,element_size
MSarray_3, 0.015250, 400000
MSarray_4, 0.016378, 400000
geo, 0.011042, 400000
base, 0.000009, 1000000
mono, 0.024628, 1000000
sliced, 0.027024, 1000000
SQ, 0.025592, 1000000
HAT, 0.026033, 1000000
MSarray_2, 0.027900, 1000000
MSarray_3, 0.030573, 1000000
MSarray_4, 0.031609, 1000000
geo, 0.015154, 1000000
base, 0.000008, 100
mono, 0.000012, 100
sliced, 0.000020, 100
SQ, 0.000020, 100
HAT, 0.000028, 100
MSarray_2, 0.000030, 100
MSarray_3, 0.000017, 100
MSarray_4, 0.000017, 100
geo, 0.000012, 100
base, 0.000008, 200
mono, 0.000007, 200
sliced, 0.000018, 200
SQ, 0.000027, 200
HAT, 0.000024, 200
MSarray_2, 0.000024, 200
MSarray_3, 0.000023, 200
MSarray_4, 0.000023, 200
geo, 0.000015, 200
base, 0.000011, 400
mono, 0.000014, 400
sliced, 0.000031, 400
SQ, 0.000022, 400
HAT, 0.000032, 400
MSarray_2, 0.000034, 400
MSarray_3, 0.000030, 400
MSarray_4, 0.000030, 400
geo, 0.000015, 400
base, 0.000011, 1000
mono, 0.000037, 1000
sliced, 0.000045, 1000
SQ, 0.000048, 1000
HAT, 0.000052, 1000
MSarray_2, 0.000056, 1000
MSarray_3, 0.000068, 1000
MSarray_4, 0.000072, 1000
geo, 0.000044, 1000
base, 0.000007, 2000
mono, 0.000068, 2000
sliced, 0.000085, 2000
SQ, 0.000072, 2000
HAT, 0.000101, 2000
MSarray_2, 0.000114, 2000
MSarray_3, 0.000119, 2000
MSarray_4, 0.000136, 2000
geo, 0.000069, 2000
base, 0.000009, 4000
mono, 0.000148, 4000
sliced, 0.000158, 4000
SQ, 0.000148, 4000
HAT, 0.000130, 4000
MSarray_2, 0.000184, 4000
MSarray_3, 0.000217, 4000
MSarray_4, 0.000282, 4000
geo, 0.000188, 4000
base, 0.000009, 10000
mono, 0.000302, 10000
sliced, 0.000386, 10000
SQ, 0.000310, 10000
HAT, 0.000376, 10000
MSarray_2, 0.000461, 10000
MSarray_3, 0.000539, 10000
MSarray_4, 0.000601, 10000
geo, 0.000335, 10000
base, 0.000006, 20000
mono, 0.000592, 20000
sliced, 0.000595, 20000
SQ, 0.000630, 20000
HAT, 0.000698, 20000
MSarray_2, 0.000729, 20000
MSarray_3, 0.001115, 20000
MSarray_4, 0.001169, 20000
geo, 0.000572, 20000
base, 0.000005, 40000
mono, 0.001114, 40000
sliced, 0.001503, 40000
SQ, 0.001293, 40000
HAT, 0.001362, 40000
MSarray_2, 0.001775, 40000
MSarray_3, 0.002377, 40000
MSarray_4, 0.002228, 40000
geo, 0.001175, 40000
base, 0.000009, 100000
mono, 0.002753, 100000
sliced, 0.002825, 100000
SQ, 0.002622, 100000
HAT, 0.003490, 100000
MSarray_2, 0.003785, 100000
MSarray_3, 0.006511, 100000
MSarray_4, 0.004767, 100000
geo, 0.002743, 100000
base, 0.000008, 200000
mono, 0.004972, 200000
sliced, 0.006316, 200000
SQ, 0.005148, 200000
HAT, 0.005723, 200000
MSarray_2, 0.007022, 200000
MSarray_3, 0.008599, 200000
MSarray_4, 0.010751, 200000
geo, 0.004972, 200000
base, 0.000009, 400000
mono, 0.010339, 400000
sliced, 0.012446, 400000
SQ, 0.010898, 400000
HAT, 0.012788, 400000
MSarray_2, 0.013613, 400000
MSarray_3, 0.015926, 400000
MSarray_4, 0.015741, 400000
geo, 0.010789, 400000
base, 0.000007, 1000000
mono, 0.024416, 1000000
sliced, 0.027045, 1000000
SQ, 0.024627, 1000000
HAT, 0.025549, 1000000
MSarray_2, 0.026911, 1000000
MSarray_3, 0.015857, 1000000
MSarray_4, 0.032251, 1000000
geo, 0.021573, 1000000
base, 0.000010, 100
mono, 0.000009, 100
sliced, 0.000009, 100
SQ, 0.000017, 100
HAT, 0.000020, 100
MSarray_2, 0.000022, 100
MSarray_3, 0.000013, 100
MSarray_4, 0.000018, 100
geo, 0.000013, 100
base, 0.000006, 200
mono, 0.000009, 200
sliced, 0.000012, 200
SQ, 0.000012, 200
HAT, 0.000021, 200
MSarray_2, 0.000012, 200
MSarray_3, 0.000023, 200
MSarray_4, 0.000020, 200
geo, 0.000014, 200
base, 0.000007, 400
mono, 0.000017, 400
sliced, 0.000025, 400
SQ, 0.000026, 400
HAT, 0.000035, 400
MSarray_2, 0.000037, 400
MSarray_3, 0.000034, 400
MSarray_4, 0.000025, 400
geo, 0.000017, 400
base, 0.000011, 1000
mono, 0.000037, 1000
sliced, 0.000049, 1000
SQ, 0.000050, 1000
HAT, 0.000054, 1000
MSarray_2, 0.000056, 1000
MSarray_3, 0.000075, 1000
MSarray_4, 0.000062, 1000
geo, 0.000025, 1000
base, 0.000007, 2000
mono, 0.000070, 2000
sliced, 0.000088, 2000
SQ, 0.000151, 2000
HAT, 0.000109, 2000
MSarray_2, 0.000111, 2000
MSarray_3, 0.000133, 2000
MSarray_4, 0.000113, 2000
geo, 0.000081, 2000
base, 0.000010, 4000
mono, 0.000132, 4000
sliced, 0.000149, 4000
SQ, 0.000145, 4000
HAT, 0.000160, 4000
MSarray_2, 0.000150, 4000
MSarray_3, 0.000171, 4000
MSarray_4, 0.000296, 4000
geo, 0.000140, 4000
base, 0.000009, 10000
mono, 0.000357, 10000
sliced, 0.000338, 10000
SQ, 0.000336, 10000
HAT, 0.000414, 10000
MSarray_2, 0.000515, 10000
MSarray_3, 0.000432, 10000
MSarray_4, 0.000666, 10000
geo, 0.000346, 10000
base, 0.000011, 20000
mono, 0.000567, 20000
sliced, 0.000911, 20000
SQ, 0.000627, 20000
HAT, 0.000806, 20000
MSarray_2, 0.000885, 20000
MSarray_3, 0.001208, 20000
MSarray_4, 0.000951, 20000
geo, 0.000595, 20000
base, 0.000007, 40000
mono, 0.001089, 40000
sliced, 0.001537, 40000
SQ, 0.001243, 40000
HAT, 0.001385, 40000
MSarray_2, 0.001577, 40000
MSarray_3, 0.002244, 40000
MSarray_4, 0.001761, 40000
geo, 0.001138, 40000
base, 0.000007, 100000
mono, 0.002530, 100000
sliced, 0.003191, 100000
SQ, 0.002583, 100000
HAT, 0.003491, 100000
MSarray_2, 0.003418, 100000
MSarray_3, 0.004632, 100000
MSarray_4, 0.005373, 100000
geo, 0.002808, 100000
base, 0.000008, 200000
mono, 0.005243, 200000
sliced, 0.006433, 200000
SQ, 0.005531, 200000
HAT, 0.006062, 200000
MSarray_2, 0.006958, 200000
MSarray_3, 0.008405, 200000
MSarray_4, 0.009375, 200000
