array_type,time,element_size
SQ, 0.049645, 512, 549770476255
HAT, 0.042986, 512, 549770476255
MSarray_2, 0.064046, 512, 549770476255
MSarray_3, 0.059476, 512, 549770476255
MSarray_4, 0.079396, 512, 549770476255
base, 0.039224, 1024, 549770476255
mono, 0.047529, 1024, 549770476255
sliced, 0.051841, 1024, 549770476255
SQ, 0.059374, 1024, 549770476255
HAT, 0.051908, 1024, 549770476255
MSarray_2, 0.074522, 1024, 549770476255
MSarray_3, 0.094784, 1024, 549770476255
MSarray_4, 0.115412, 1024, 549770476255
base, 0.063484, 2048, 549770476255
mono, 0.059107, 2048, 549770476255
sliced, 0.080060, 2048, 549770476255
SQ, 0.077948, 2048, 549770476255
HAT, 0.074602, 2048, 549770476255
MSarray_2, 0.106296, 2048, 549770476255
MSarray_3, 0.139393, 2048, 549770476255
MSarray_4, 0.215772, 2048, 549770476255
base, 0.022641, 128, 549770476255
mono, 0.027336, 128, 549770476255
sliced, 0.035738, 128, 549770476255
SQ, 0.041807, 128, 549770476255
HAT, 0.033474, 128, 549770476255
MSarray_2, 0.046933, 128, 549770476255
MSarray_3, 0.046226, 128, 549770476255
MSarray_4, 0.051297, 128, 549770476255
base, 0.031220, 256, 549770476255
mono, 0.029297, 256, 549770476255
sliced, 0.040900, 256, 549770476255
SQ, 0.044269, 256, 549770476255
HAT, 0.035453, 256, 549770476255
MSarray_2, 0.051465, 256, 549770476255
MSarray_3, 0.049485, 256, 549770476255
MSarray_4, 0.060546, 256, 549770476255
base, 0.030808, 512, 549770476255
mono, 0.036892, 512, 549770476255
sliced, 0.044993, 512, 549770476255
SQ, 0.050094, 512, 549770476255
HAT, 0.042425, 512, 549770476255
MSarray_2, 0.059647, 512, 549770476255
MSarray_3, 0.060008, 512, 549770476255
MSarray_4, 0.084175, 512, 549770476255
base, 0.044473, 1024, 549770476255
mono, 0.045085, 1024, 549770476255
sliced, 0.052467, 1024, 549770476255
SQ, 0.057550, 1024, 549770476255
HAT, 0.051773, 1024, 549770476255
MSarray_2, 0.077900, 1024, 549770476255
MSarray_3, 0.095790, 1024, 549770476255
MSarray_4, 0.118403, 1024, 549770476255
base, 0.060001, 2048, 549770476255
mono, 0.059209, 2048, 549770476255
sliced, 0.074010, 2048, 549770476255
SQ, 0.076531, 2048, 549770476255
HAT, 0.073646, 2048, 549770476255
MSarray_2, 0.103753, 2048, 549770476255
MSarray_3, 0.138637, 2048, 549770476255
MSarray_4, 0.215439, 2048, 549770476255
base, 0.023799, 128, 549770476255
mono, 0.027977, 128, 549770476255
sliced, 0.036541, 128, 549770476255
SQ, 0.043559, 128, 549770476255
HAT, 0.033980, 128, 549770476255
MSarray_2, 0.047968, 128, 549770476255
MSarray_3, 0.046485, 128, 549770476255
MSarray_4, 0.052064, 128, 549770476255
base, 0.025779, 256, 549770476255
mono, 0.031736, 256, 549770476255
sliced, 0.039210, 256, 549770476255
SQ, 0.044075, 256, 549770476255
HAT, 0.035222, 256, 549770476255
MSarray_2, 0.049962, 256, 549770476255
MSarray_3, 0.048576, 256, 549770476255
MSarray_4, 0.057929, 256, 549770476255
base, 0.030541, 512, 549770476255
mono, 0.036703, 512, 549770476255
sliced, 0.044153, 512, 549770476255
SQ, 0.050409, 512, 549770476255
HAT, 0.041185, 512, 549770476255
MSarray_2, 0.059915, 512, 549770476255
MSarray_3, 0.060052, 512, 549770476255
MSarray_4, 0.080109, 512, 549770476255
base, 0.044377, 1024, 549770476255
mono, 0.048840, 1024, 549770476255
sliced, 0.061368, 1024, 549770476255
SQ, 0.057810, 1024, 549770476255
HAT, 0.051619, 1024, 549770476255
MSarray_2, 0.076799, 1024, 549770476255
MSarray_3, 0.101482, 1024, 549770476255
MSarray_4, 0.117491, 1024, 549770476255
base, 0.060868, 2048, 549770476255
mono, 0.063674, 2048, 549770476255
sliced, 0.071895, 2048, 549770476255
SQ, 0.077579, 2048, 549770476255
HAT, 0.087890, 2048, 549770476255
MSarray_2, 0.104449, 2048, 549770476255
MSarray_3, 0.138718, 2048, 549770476255
MSarray_4, 0.222661, 2048, 549770476255
base, 0.023461, 128, 549770476255
mono, 0.027249, 128, 549770476255
sliced, 0.036176, 128, 549770476255
SQ, 0.042822, 128, 549770476255
HAT, 0.035041, 128, 549770476255
MSarray_2, 0.047850, 128, 549770476255
MSarray_3, 0.044714, 128, 549770476255
MSarray_4, 0.051169, 128, 549770476255
base, 0.025036, 256, 549770476255
mono, 0.030111, 256, 549770476255
sliced, 0.037778, 256, 549770476255
SQ, 0.045102, 256, 549770476255
HAT, 0.036073, 256, 549770476255
MSarray_2, 0.051285, 256, 549770476255
MSarray_3, 0.048483, 256, 549770476255
MSarray_4, 0.058914, 256, 549770476255
base, 0.030379, 512, 549770476255
mono, 0.036752, 512, 549770476255
sliced, 0.045226, 512, 549770476255
SQ, 0.049808, 512, 549770476255
HAT, 0.043144, 512, 549770476255
MSarray_2, 0.062840, 512, 549770476255
MSarray_3, 0.060881, 512, 549770476255
MSarray_4, 0.079197, 512, 549770476255
base, 0.043766, 1024, 549770476255
mono, 0.044710, 1024, 549770476255
sliced, 0.055611, 1024, 549770476255
SQ, 0.058320, 1024, 549770476255
HAT, 0.051985, 1024, 549770476255
MSarray_2, 0.077552, 1024, 549770476255
MSarray_3, 0.096099, 1024, 549770476255
MSarray_4, 0.118005, 1024, 549770476255
base, 0.060299, 2048, 549770476255
mono, 0.059057, 2048, 549770476255
sliced, 0.071626, 2048, 549770476255
SQ, 0.078566, 2048, 549770476255
HAT, 0.078529, 2048, 549770476255
MSarray_2, 0.103849, 2048, 549770476255
MSarray_3, 0.139081, 2048, 549770476255
MSarray_4, 0.223288, 2048, 549770476255
base, 0.025909, 128, 549770476255
mono, 0.027403, 128, 549770476255
sliced, 0.041458, 128, 549770476255
SQ, 0.044275, 128, 549770476255
HAT, 0.049726, 128, 549770476255
MSarray_2, 0.048314, 128, 549770476255
MSarray_3, 0.048953, 128, 549770476255
MSarray_4, 0.076371, 128, 549770476255
base, 0.029389, 256, 549770476255
mono, 0.035521, 256, 549770476255
sliced, 0.041352, 256, 549770476255
SQ, 0.045324, 256, 549770476255
HAT, 0.036318, 256, 549770476255
MSarray_2, 0.056522, 256, 549770476255
MSarray_3, 0.069393, 256, 549770476255
MSarray_4, 0.060147, 256, 549770476255
base, 0.038035, 512, 549770476255
mono, 0.037027, 512, 549770476255
sliced, 0.072364, 512, 549770476255
SQ, 0.051485, 512, 549770476255
HAT, 0.057213, 512, 549770476255
MSarray_2, 0.067309, 512, 549770476255
MSarray_3, 0.073553, 512, 549770476255
MSarray_4, 0.083388, 512, 549770476255
base, 0.045459, 1024, 549770476255
mono, 0.047110, 1024, 549770476255
sliced, 0.061242, 1024, 549770476255
SQ, 0.067030, 1024, 549770476255
HAT, 0.060415, 1024, 549770476255
MSarray_2, 0.082084, 1024, 549770476255
MSarray_3, 0.101299, 1024, 549770476255
MSarray_4, 0.126857, 1024, 549770476255
base, 0.065925, 2048, 549770476255
mono, 0.068208, 2048, 549770476255
sliced, 0.073923, 2048, 549770476255
SQ, 0.077528, 2048, 549770476255
HAT, 0.077940, 2048, 549770476255
MSarray_2, 0.103371, 2048, 549770476255
MSarray_3, 0.141944, 2048, 549770476255
MSarray_4, 0.254951, 2048, 549770476255
base, 0.023799, 128, 549770476255
mono, 0.027451, 128, 549770476255
sliced, 0.035802, 128, 549770476255
SQ, 0.042355, 128, 549770476255
HAT, 0.033135, 128, 549770476255
MSarray_2, 0.044942, 128, 549770476255
MSarray_3, 0.045534, 128, 549770476255
MSarray_4, 0.051041, 128, 549770476255
base, 0.025416, 256, 549770476255
mono, 0.033448, 256, 549770476255
sliced, 0.041429, 256, 549770476255
SQ, 0.061497, 256, 549770476255
HAT, 0.035295, 256, 549770476255
MSarray_2, 0.055972, 256, 549770476255
MSarray_3, 0.049364, 256, 549770476255
MSarray_4, 0.058196, 256, 549770476255
base, 0.029932, 512, 549770476255
mono, 0.036864, 512, 549770476255
sliced, 0.043736, 512, 549770476255
SQ, 0.049826, 512, 549770476255
HAT, 0.044914, 512, 549770476255
MSarray_2, 0.062292, 512, 549770476255
MSarray_3, 0.062034, 512, 549770476255
MSarray_4, 0.083607, 512, 549770476255
base, 0.054669, 1024, 549770476255
mono, 0.047652, 1024, 549770476255
sliced, 0.055106, 1024, 549770476255
SQ, 0.059892, 1024, 549770476255
HAT, 0.051814, 1024, 549770476255
MSarray_2, 0.075646, 1024, 549770476255
MSarray_3, 0.099975, 1024, 549770476255
MSarray_4, 0.120310, 1024, 549770476255
base, 0.062515, 2048, 549770476255
mono, 0.059552, 2048, 549770476255
sliced, 0.071372, 2048, 549770476255
SQ, 0.077592, 2048, 549770476255
HAT, 0.086612, 2048, 549770476255
MSarray_2, 0.104173, 2048, 549770476255
MSarray_3, 0.140066, 2048, 549770476255
MSarray_4, 0.252271, 2048, 549770476255
base, 0.022699, 128, 549770476255
mono, 0.028582, 128, 549770476255
sliced, 0.036476, 128, 549770476255
SQ, 0.042477, 128, 549770476255
HAT, 0.032282, 128, 549770476255
MSarray_2, 0.047189, 128, 549770476255
MSarray_3, 0.045265, 128, 549770476255
MSarray_4, 0.051730, 128, 549770476255
base, 0.026429, 256, 549770476255
mono, 0.030739, 256, 549770476255
sliced, 0.045619, 256, 549770476255
SQ, 0.045776, 256, 549770476255
HAT, 0.036567, 256, 549770476255
MSarray_2, 0.052259, 256, 549770476255
MSarray_3, 0.050897, 256, 549770476255
MSarray_4, 0.058239, 256, 549770476255
base, 0.036512, 512, 549770476255
mono, 0.040655, 512, 549770476255
sliced, 0.049686, 512, 549770476255
SQ, 0.054718, 512, 549770476255
HAT, 0.045601, 512, 549770476255
MSarray_2, 0.064026, 512, 549770476255
MSarray_3, 0.066010, 512, 549770476255
MSarray_4, 0.080893, 512, 549770476255
base, 0.046308, 1024, 549770476255
mono, 0.049250, 1024, 549770476255
sliced, 0.063891, 1024, 549770476255
SQ, 0.068639, 1024, 549770476255
HAT, 0.055725, 1024, 549770476255
MSarray_2, 0.076842, 1024, 549770476255
MSarray_3, 0.101420, 1024, 549770476255
MSarray_4, 0.116456, 1024, 549770476255
base, 0.060216, 2048, 549770476255
mono, 0.060942, 2048, 549770476255
sliced, 0.069510, 2048, 549770476255
SQ, 0.083362, 2048, 549770476255
HAT, 0.080175, 2048, 549770476255
MSarray_2, 0.110798, 2048, 549770476255
MSarray_3, 0.142139, 2048, 549770476255
MSarray_4, 0.225721, 2048, 549770476255
base, 0.022684, 128, 549770476255
mono, 0.027598, 128, 549770476255
sliced, 0.036552, 128, 549770476255
SQ, 0.041622, 128, 549770476255
HAT, 0.032813, 128, 549770476255
MSarray_2, 0.047498, 128, 549770476255
MSarray_3, 0.047231, 128, 549770476255
MSarray_4, 0.051114, 128, 549770476255
base, 0.025656, 256, 549770476255
mono, 0.030121, 256, 549770476255
sliced, 0.040675, 256, 549770476255
SQ, 0.043592, 256, 549770476255
HAT, 0.035462, 256, 549770476255
MSarray_2, 0.052608, 256, 549770476255
MSarray_3, 0.048749, 256, 549770476255
MSarray_4, 0.060239, 256, 549770476255
base, 0.032796, 512, 549770476255
mono, 0.034666, 512, 549770476255
sliced, 0.048011, 512, 549770476255
SQ, 0.051253, 512, 549770476255
HAT, 0.042331, 512, 549770476255
MSarray_2, 0.066611, 512, 549770476255
MSarray_3, 0.062411, 512, 549770476255
MSarray_4, 0.096739, 512, 549770476255
base, 0.044224, 1024, 549770476255
mono, 0.053251, 1024, 549770476255
sliced, 0.057060, 1024, 549770476255
SQ, 0.067223, 1024, 549770476255
HAT, 0.058275, 1024, 549770476255
MSarray_2, 0.083224, 1024, 549770476255
MSarray_3, 0.103630, 1024, 549770476255
