array_type,time,element_size
SQ, 2.347906, 416
HAT, 2.249378, 416
MSarray_2, 2.701730, 416
MSarray_3, 2.817098, 416
MSarray_4, 2.750978, 416
base, 2.107985, 432
mono, 2.209301, 432
sliced, 2.531401, 432
SQ, 2.433580, 432
HAT, 2.337438, 432
MSarray_2, 2.796164, 432
MSarray_3, 2.883392, 432
MSarray_4, 2.803462, 432
base, 2.133128, 448
mono, 2.233916, 448
sliced, 2.530565, 448
SQ, 2.434507, 448
HAT, 2.337354, 448
MSarray_2, 2.803209, 448
MSarray_3, 2.882909, 448
MSarray_4, 2.830362, 448
base, 2.186883, 464
mono, 2.301612, 464
sliced, 2.590025, 464
SQ, 2.546428, 464
HAT, 2.429669, 464
MSarray_2, 2.892807, 464
MSarray_3, 2.979506, 464
MSarray_4, 2.897979, 464
base, 2.237124, 480
mono, 2.328698, 480
sliced, 2.597946, 480
SQ, 2.531819, 480
HAT, 2.451415, 480
MSarray_2, 2.911046, 480
MSarray_3, 2.986845, 480
MSarray_4, 2.929296, 480
base, 2.298626, 496
mono, 2.399687, 496
sliced, 2.695930, 496
SQ, 2.622426, 496
HAT, 2.516070, 496
MSarray_2, 2.950754, 496
MSarray_3, 3.055586, 496
MSarray_4, 2.966931, 496
base, 2.232022, 512
mono, 2.369610, 512
sliced, 2.677755, 512
SQ, 2.617306, 512
HAT, 2.497604, 512
MSarray_2, 2.939339, 512
MSarray_3, 3.016511, 512
MSarray_4, 2.941583, 512
base, 2.367851, 528
mono, 2.495522, 528
sliced, 2.771251, 528
SQ, 2.721390, 528
HAT, 2.618231, 528
MSarray_2, 3.054497, 528
MSarray_3, 3.148011, 528
MSarray_4, 3.038041, 528
base, 2.404072, 544
mono, 2.511609, 544
sliced, 2.773610, 544
SQ, 2.712313, 544
HAT, 2.652293, 544
MSarray_2, 3.087794, 544
MSarray_3, 3.181506, 544
MSarray_4, 3.068387, 544
base, 2.494566, 560
mono, 2.601778, 560
sliced, 2.871625, 560
SQ, 2.791853, 560
HAT, 2.727127, 560
MSarray_2, 3.143688, 560
MSarray_3, 3.243661, 560
MSarray_4, 3.158213, 560
base, 2.484325, 576
mono, 2.611704, 576
sliced, 2.873070, 576
SQ, 2.798003, 576
HAT, 2.729390, 576
MSarray_2, 3.179208, 576
MSarray_3, 3.269160, 576
MSarray_4, 3.204039, 576
base, 2.644657, 592
mono, 2.761446, 592
sliced, 3.027563, 592
SQ, 2.947520, 592
HAT, 2.856293, 592
MSarray_2, 3.257211, 592
MSarray_3, 3.400030, 592
MSarray_4, 3.280825, 592
base, 2.667239, 608
mono, 2.790727, 608
sliced, 3.056589, 608
SQ, 2.941852, 608
HAT, 2.924443, 608
MSarray_2, 3.300691, 608
MSarray_3, 3.451998, 608
MSarray_4, 3.347511, 608
base, 2.800937, 624
mono, 2.898278, 624
sliced, 3.176720, 624
SQ, 3.050043, 624
HAT, 3.018011, 624
MSarray_2, 3.378380, 624
MSarray_3, 3.484944, 624
MSarray_4, 3.391950, 624
base, 2.668497, 640
mono, 2.808722, 640
sliced, 3.070100, 640
SQ, 2.988602, 640
HAT, 2.921208, 640
MSarray_2, 3.322823, 640
MSarray_3, 3.447564, 640
MSarray_4, 3.339332, 640
base, 2.929354, 656
mono, 3.013973, 656
sliced, 3.334674, 656
SQ, 3.213564, 656
HAT, 3.146671, 656
MSarray_2, 3.540587, 656
MSarray_3, 3.637229, 656
MSarray_4, 3.571349, 656
base, 2.964300, 672
mono, 3.079307, 672
sliced, 3.381953, 672
SQ, 3.234834, 672
HAT, 3.204802, 672
MSarray_2, 3.580148, 672
MSarray_3, 3.671593, 672
MSarray_4, 3.587249, 672
base, 3.088903, 688
mono, 3.161952, 688
sliced, 3.483624, 688
SQ, 3.367245, 688
HAT, 3.280616, 688
MSarray_2, 3.659076, 688
MSarray_3, 3.765808, 688
MSarray_4, 3.671283, 688
base, 3.089236, 704
mono, 3.163391, 704
sliced, 3.464504, 704
SQ, 3.373007, 704
HAT, 3.291171, 704
MSarray_2, 3.699525, 704
MSarray_3, 3.847639, 704
MSarray_4, 3.692858, 704
base, 3.232495, 720
mono, 3.315406, 720
sliced, 3.640911, 720
SQ, 3.514840, 720
HAT, 3.441182, 720
MSarray_2, 3.818266, 720
MSarray_3, 3.929237, 720
MSarray_4, 3.836885, 720
base, 3.270774, 736
mono, 3.368828, 736
sliced, 3.698328, 736
SQ, 3.567980, 736
HAT, 3.506812, 736
MSarray_2, 3.876548, 736
MSarray_3, 3.988275, 736
MSarray_4, 3.912431, 736
base, 3.369032, 752
mono, 3.452912, 752
sliced, 3.805588, 752
SQ, 3.684933, 752
HAT, 3.587154, 752
MSarray_2, 3.973610, 752
MSarray_3, 4.101777, 752
MSarray_4, 4.009357, 752
base, 3.270799, 768
mono, 3.379801, 768
sliced, 3.668480, 768
SQ, 3.553188, 768
HAT, 3.500605, 768
MSarray_2, 3.848125, 768
MSarray_3, 3.960169, 768
MSarray_4, 3.890727, 768
base, 3.508616, 784
mono, 3.616908, 784
sliced, 3.937982, 784
SQ, 3.857496, 784
HAT, 3.758479, 784
MSarray_2, 4.159282, 784
MSarray_3, 4.307863, 784
MSarray_4, 4.236532, 784
base, 3.556544, 800
mono, 3.625437, 800
sliced, 3.991826, 800
SQ, 3.885727, 800
HAT, 3.794126, 800
MSarray_2, 4.198701, 800
MSarray_3, 4.338206, 800
MSarray_4, 4.203572, 800
base, 3.657176, 816
mono, 3.721703, 816
sliced, 4.091700, 816
SQ, 3.989970, 816
HAT, 3.877761, 816
MSarray_2, 4.280123, 816
MSarray_3, 4.360400, 816
MSarray_4, 4.286743, 816
base, 3.671068, 832
mono, 3.755539, 832
sliced, 4.116720, 832
SQ, 4.007925, 832
HAT, 3.896001, 832
MSarray_2, 4.385508, 832
MSarray_3, 4.437982, 832
MSarray_4, 4.393655, 832
base, 3.771020, 848
mono, 3.839923, 848
sliced, 4.176202, 848
SQ, 4.070958, 848
HAT, 3.992464, 848
MSarray_2, 4.378140, 848
MSarray_3, 4.491329, 848
MSarray_4, 4.415040, 848
base, 3.799666, 864
mono, 3.865292, 864
sliced, 4.203315, 864
SQ, 4.089466, 864
HAT, 3.988447, 864
MSarray_2, 4.390233, 864
MSarray_3, 4.515991, 864
MSarray_4, 4.417815, 864
base, 3.859991, 880
mono, 3.962945, 880
sliced, 4.273516, 880
SQ, 4.187301, 880
HAT, 4.097083, 880
MSarray_2, 4.531690, 880
MSarray_3, 4.602674, 880
MSarray_4, 4.516581, 880
base, 3.857927, 896
mono, 3.928717, 896
sliced, 4.333517, 896
SQ, 4.184617, 896
HAT, 4.067884, 896
MSarray_2, 4.535965, 896
MSarray_3, 4.653010, 896
MSarray_4, 4.564626, 896
base, 4.000041, 912
mono, 4.073431, 912
sliced, 4.409276, 912
SQ, 4.313946, 912
HAT, 4.245676, 912
MSarray_2, 4.669297, 912
MSarray_3, 4.820776, 912
MSarray_4, 4.714076, 912
base, 4.030727, 928
mono, 4.123000, 928
sliced, 4.448244, 928
SQ, 4.380799, 928
HAT, 4.272903, 928
MSarray_2, 4.688459, 928
MSarray_3, 4.798665, 928
MSarray_4, 4.696367, 928
base, 4.112559, 944
mono, 4.180463, 944
sliced, 4.575414, 944
SQ, 4.509041, 944
HAT, 4.377738, 944
MSarray_2, 4.952045, 944
MSarray_3, 5.071405, 944
MSarray_4, 5.004218, 944
base, 4.158120, 960
mono, 4.224724, 960
sliced, 4.691032, 960
SQ, 4.510316, 960
HAT, 4.396723, 960
MSarray_2, 4.922273, 960
MSarray_3, 5.035734, 960
MSarray_4, 4.937907, 960
base, 4.263844, 976
mono, 4.335392, 976
sliced, 4.702473, 976
SQ, 4.650378, 976
HAT, 4.510597, 976
MSarray_2, 5.077292, 976
