array_type,time,element_size,checksum
HAT, 0.033999, 288, 549770476255
MSarray_2, 0.083249, 288, 549770476255
MSarray_3, 0.068978, 288, 549770476255
MSarray_4, 0.138555, 288, 549770476255
geo, 0.006788, 304, 549770476255
mono, 0.004584, 304, 549770476255
sliced, 0.010470, 304, 549770476255
SQ, 0.006633, 304, 549770476255
HAT, 0.034971, 304, 549770476255
MSarray_2, 0.086484, 304, 549770476255
MSarray_3, 0.073738, 304, 549770476255
MSarray_4, 0.141561, 304, 549770476255
geo, 0.006949, 320, 549770476255
mono, 0.004098, 320, 549770476255
sliced, 0.011973, 320, 549770476255
SQ, 0.005654, 320, 549770476255
HAT, 0.035052, 320, 549770476255
MSarray_2, 0.088894, 320, 549770476255
MSarray_3, 0.085926, 320, 549770476255
MSarray_4, 0.154230, 320, 549770476255
geo, 0.004644, 336, 549770476255
mono, 0.003999, 336, 549770476255
sliced, 0.009814, 336, 549770476255
SQ, 0.006134, 336, 549770476255
HAT, 0.036331, 336, 549770476255
MSarray_2, 0.094390, 336, 549770476255
MSarray_3, 0.073660, 336, 549770476255
MSarray_4, 0.169551, 336, 549770476255
geo, 0.004680, 352, 549770476255
mono, 0.004209, 352, 549770476255
sliced, 0.011342, 352, 549770476255
SQ, 0.005957, 352, 549770476255
HAT, 0.037029, 352, 549770476255
MSarray_2, 0.091823, 352, 549770476255
MSarray_3, 0.083297, 352, 549770476255
MSarray_4, 0.174333, 352, 549770476255
geo, 0.006909, 368, 549770476255
mono, 0.006641, 368, 549770476255
sliced, 0.010011, 368, 549770476255
SQ, 0.007809, 368, 549770476255
HAT, 0.039121, 368, 549770476255
MSarray_2, 0.126594, 368, 549770476255
MSarray_3, 0.077939, 368, 549770476255
MSarray_4, 0.179612, 368, 549770476255
geo, 0.004708, 384, 549770476255
mono, 0.004630, 384, 549770476255
sliced, 0.011028, 384, 549770476255
SQ, 0.004941, 384, 549770476255
HAT, 0.033683, 384, 549770476255
MSarray_2, 0.097908, 384, 549770476255
MSarray_3, 0.078508, 384, 549770476255
MSarray_4, 0.181803, 384, 549770476255
geo, 0.006620, 400, 549770476255
mono, 0.003606, 400, 549770476255
sliced, 0.011328, 400, 549770476255
SQ, 0.006003, 400, 549770476255
HAT, 0.041683, 400, 549770476255
MSarray_2, 0.100204, 400, 549770476255
MSarray_3, 0.080995, 400, 549770476255
MSarray_4, 0.215228, 400, 549770476255
geo, 0.006658, 416, 549770476255
mono, 0.004418, 416, 549770476255
sliced, 0.011547, 416, 549770476255
SQ, 0.004856, 416, 549770476255
HAT, 0.042769, 416, 549770476255
MSarray_2, 0.110390, 416, 549770476255
MSarray_3, 0.081671, 416, 549770476255
MSarray_4, 0.184774, 416, 549770476255
