array_type,time,element_size
SQ, 0.013209, 416
HAT, 0.011548, 416
MSarray_2, 0.014871, 416
MSarray_3, 0.015162, 416
MSarray_4, 0.023332, 416
base, 0.009122, 432
mono, 0.009229, 432
sliced, 0.011569, 432
SQ, 0.013441, 432
HAT, 0.011677, 432
MSarray_2, 0.014484, 432
MSarray_3, 0.014609, 432
MSarray_4, 0.025399, 432
base, 0.009926, 448
mono, 0.009160, 448
sliced, 0.011475, 448
SQ, 0.013336, 448
HAT, 0.011667, 448
MSarray_2, 0.014955, 448
MSarray_3, 0.014954, 448
MSarray_4, 0.025493, 448
base, 0.009730, 464
mono, 0.009166, 464
sliced, 0.011424, 464
SQ, 0.013594, 464
HAT, 0.011950, 464
MSarray_2, 0.014956, 464
MSarray_3, 0.013295, 464
MSarray_4, 0.026386, 464
base, 0.009862, 480
mono, 0.009352, 480
sliced, 0.011754, 480
SQ, 0.013775, 480
HAT, 0.009443, 480
MSarray_2, 0.015230, 480
MSarray_3, 0.015268, 480
MSarray_4, 0.026877, 480
base, 0.009682, 496
mono, 0.009484, 496
sliced, 0.009926, 496
SQ, 0.013731, 496
HAT, 0.012085, 496
MSarray_2, 0.013154, 496
MSarray_3, 0.015420, 496
MSarray_4, 0.026838, 496
base, 0.005008, 512
mono, 0.007393, 512
sliced, 0.008786, 512
SQ, 0.010882, 512
HAT, 0.009064, 512
MSarray_2, 0.012442, 512
MSarray_3, 0.012198, 512
MSarray_4, 0.025402, 512
base, 0.008198, 528
mono, 0.008955, 528
sliced, 0.011011, 528
SQ, 0.012519, 528
HAT, 0.011165, 528
MSarray_2, 0.014147, 528
MSarray_3, 0.018654, 528
MSarray_4, 0.025390, 528
base, 0.007548, 544
mono, 0.008642, 544
sliced, 0.010989, 544
SQ, 0.013120, 544
HAT, 0.011255, 544
MSarray_2, 0.014175, 544
MSarray_3, 0.019397, 544
MSarray_4, 0.028004, 544
base, 0.007539, 560
mono, 0.008620, 560
sliced, 0.010994, 560
SQ, 0.012875, 560
HAT, 0.011167, 560
MSarray_2, 0.014214, 560
MSarray_3, 0.019475, 560
MSarray_4, 0.027672, 560
base, 0.006974, 576
mono, 0.008693, 576
sliced, 0.010485, 576
SQ, 0.013111, 576
HAT, 0.011217, 576
MSarray_2, 0.013466, 576
MSarray_3, 0.021129, 576
MSarray_4, 0.029371, 576
base, 0.008216, 592
mono, 0.008879, 592
sliced, 0.011474, 592
SQ, 0.013615, 592
HAT, 0.011426, 592
MSarray_2, 0.013717, 592
MSarray_3, 0.021314, 592
MSarray_4, 0.029678, 592
base, 0.008462, 608
mono, 0.009085, 608
sliced, 0.011380, 608
SQ, 0.014148, 608
HAT, 0.012041, 608
MSarray_2, 0.013476, 608
MSarray_3, 0.022293, 608
MSarray_4, 0.029919, 608
base, 0.009109, 624
mono, 0.009667, 624
sliced, 0.011962, 624
SQ, 0.014287, 624
HAT, 0.012340, 624
MSarray_2, 0.013876, 624
MSarray_3, 0.022150, 624
MSarray_4, 0.031159, 624
base, 0.008560, 640
mono, 0.010257, 640
sliced, 0.014796, 640
SQ, 0.014218, 640
HAT, 0.012526, 640
MSarray_2, 0.013476, 640
MSarray_3, 0.023124, 640
MSarray_4, 0.033226, 640
base, 0.008822, 656
