array_type,time,element_size,checksum
HAT, 0.043167, 288, 549770476255
MSarray_2, 0.026088, 288, 549770476255
MSarray_3, 0.026957, 288, 549770476255
MSarray_4, 0.039495, 288, 549770476255
geo, 0.064035, 304, 549770476255
mono, 0.064534, 304, 549770476255
sliced, 0.064748, 304, 549770476255
SQ, 0.066837, 304, 549770476255
HAT, 0.048744, 304, 549770476255
MSarray_2, 0.028001, 304, 549770476255
MSarray_3, 0.030334, 304, 549770476255
MSarray_4, 0.042775, 304, 549770476255
geo, 0.067471, 320, 549770476255
mono, 0.067150, 320, 549770476255
sliced, 0.064139, 320, 549770476255
SQ, 0.066985, 320, 549770476255
HAT, 0.049867, 320, 549770476255
MSarray_2, 0.033029, 320, 549770476255
MSarray_3, 0.030636, 320, 549770476255
MSarray_4, 0.043507, 320, 549770476255
geo, 0.069751, 336, 549770476255
mono, 0.066743, 336, 549770476255
sliced, 0.068318, 336, 549770476255
SQ, 0.070971, 336, 549770476255
HAT, 0.049749, 336, 549770476255
MSarray_2, 0.030633, 336, 549770476255
MSarray_3, 0.034608, 336, 549770476255
MSarray_4, 0.048760, 336, 549770476255
geo, 0.070376, 352, 549770476255
mono, 0.070114, 352, 549770476255
sliced, 0.069830, 352, 549770476255
SQ, 0.077777, 352, 549770476255
HAT, 0.052539, 352, 549770476255
MSarray_2, 0.032201, 352, 549770476255
MSarray_3, 0.035126, 352, 549770476255
MSarray_4, 0.049672, 352, 549770476255
geo, 0.060660, 368, 549770476255
mono, 0.074241, 368, 549770476255
sliced, 0.074575, 368, 549770476255
SQ, 0.077419, 368, 549770476255
HAT, 0.054378, 368, 549770476255
MSarray_2, 0.034195, 368, 549770476255
MSarray_3, 0.037867, 368, 549770476255
MSarray_4, 0.053133, 368, 549770476255
geo, 0.075415, 384, 549770476255
mono, 0.076507, 384, 549770476255
sliced, 0.060009, 384, 549770476255
SQ, 0.077993, 384, 549770476255
HAT, 0.057966, 384, 549770476255
MSarray_2, 0.036720, 384, 549770476255
MSarray_3, 0.038816, 384, 549770476255
MSarray_4, 0.054283, 384, 549770476255
geo, 0.076464, 400, 549770476255
mono, 0.078759, 400, 549770476255
sliced, 0.080666, 400, 549770476255
SQ, 0.083290, 400, 549770476255
HAT, 0.060111, 400, 549770476255
MSarray_2, 0.037891, 400, 549770476255
MSarray_3, 0.041126, 400, 549770476255
MSarray_4, 0.059230, 400, 549770476255
geo, 0.082896, 416, 549770476255
mono, 0.082895, 416, 549770476255
sliced, 0.078198, 416, 549770476255
SQ, 0.083623, 416, 549770476255
HAT, 0.061810, 416, 549770476255
MSarray_2, 0.039408, 416, 549770476255
MSarray_3, 0.041431, 416, 549770476255
MSarray_4, 0.058966, 416, 549770476255
geo, 0.088526, 432, 549770476255
mono, 0.086010, 432, 549770476255
sliced, 0.084671, 432, 549770476255
SQ, 0.085819, 432, 549770476255
HAT, 0.066092, 432, 549770476255
MSarray_2, 0.041834, 432, 549770476255
MSarray_3, 0.046666, 432, 549770476255
MSarray_4, 0.062219, 432, 549770476255
geo, 0.086219, 448, 549770476255
mono, 0.087580, 448, 549770476255
sliced, 0.082763, 448, 549770476255
SQ, 0.088962, 448, 549770476255
HAT, 0.066323, 448, 549770476255
MSarray_2, 0.041317, 448, 549770476255
MSarray_3, 0.043082, 448, 549770476255
MSarray_4, 0.067310, 448, 549770476255
geo, 0.085450, 464, 549770476255
mono, 0.087370, 464, 549770476255
sliced, 0.087166, 464, 549770476255
SQ, 0.090825, 464, 549770476255
HAT, 0.061844, 464, 549770476255
MSarray_2, 0.040371, 464, 549770476255
MSarray_3, 0.045170, 464, 549770476255
MSarray_4, 0.073750, 464, 549770476255
geo, 0.093233, 480, 549770476255
mono, 0.089582, 480, 549770476255
sliced, 0.090048, 480, 549770476255
SQ, 0.093394, 480, 549770476255
HAT, 0.069463, 480, 549770476255
MSarray_2, 0.042894, 480, 549770476255
MSarray_3, 0.045634, 480, 549770476255
MSarray_4, 0.064855, 480, 549770476255
geo, 0.093624, 496, 549770476255
mono, 0.094677, 496, 549770476255
sliced, 0.094338, 496, 549770476255
SQ, 0.093637, 496, 549770476255
HAT, 0.073358, 496, 549770476255
MSarray_2, 0.041521, 496, 549770476255
MSarray_3, 0.046990, 496, 549770476255
MSarray_4, 0.065697, 496, 549770476255
geo, 0.098477, 512, 549770476255
mono, 0.098950, 512, 549770476255
sliced, 0.094515, 512, 549770476255
SQ, 0.097706, 512, 549770476255
HAT, 0.071379, 512, 549770476255
MSarray_2, 0.043626, 512, 549770476255
MSarray_3, 0.045259, 512, 549770476255
MSarray_4, 0.067226, 512, 549770476255
geo, 0.100790, 528, 549770476255
mono, 0.100473, 528, 549770476255
sliced, 0.101050, 528, 549770476255
SQ, 0.102338, 528, 549770476255
HAT, 0.074106, 528, 549770476255
MSarray_2, 0.042077, 528, 549770476255
MSarray_3, 0.057294, 528, 549770476255
MSarray_4, 0.072179, 528, 549770476255
geo, 0.103650, 544, 549770476255
mono, 0.102891, 544, 549770476255
sliced, 0.101308, 544, 549770476255
SQ, 0.105121, 544, 549770476255
HAT, 0.080892, 544, 549770476255
MSarray_2, 0.046164, 544, 549770476255
MSarray_3, 0.057807, 544, 549770476255
MSarray_4, 0.071221, 544, 549770476255
geo, 0.105546, 560, 549770476255
mono, 0.107148, 560, 549770476255
sliced, 0.105937, 560, 549770476255
SQ, 0.107851, 560, 549770476255
HAT, 0.082223, 560, 549770476255
MSarray_2, 0.043312, 560, 549770476255
MSarray_3, 0.059213, 560, 549770476255
MSarray_4, 0.073696, 560, 549770476255
geo, 0.109090, 576, 549770476255
mono, 0.109641, 576, 549770476255
sliced, 0.109373, 576, 549770476255
SQ, 0.109336, 576, 549770476255
HAT, 0.080347, 576, 549770476255
MSarray_2, 0.048187, 576, 549770476255
MSarray_3, 0.059448, 576, 549770476255
MSarray_4, 0.077472, 576, 549770476255
geo, 0.113667, 592, 549770476255
mono, 0.115620, 592, 549770476255
sliced, 0.110176, 592, 549770476255
SQ, 0.109364, 592, 549770476255
HAT, 0.086731, 592, 549770476255
